Last position of orbit,   A
 0.08041965  0.          2.75107035  1.         0.203599
 -1.16581217e-03   0.00000000e+00   2.43981538e+00   1.00000000e+00 0.2036
-0.08042226  0.          3.53215246  1.         0.203601
  1.16819691e-03   0.00000000e+00   3.84338698e+00   1.00000000e+00 0.203602
 0.0804249  0.         2.750996   1.        0.203603
 -1.17056356e-03   0.00000000e+00   2.43978191e+00   1.00000000e+00 0.203604
-0.08042751  0.          3.53222677  1.         0.203605
  1.17294544e-03   0.00000000e+00   3.84342043e+00   1.00000000e+00 0.203606
 0.08043014  0.          2.75092173  1.         0.203607
 -1.17530923e-03   0.00000000e+00   2.43974847e+00   1.00000000e+00 0.203608
-0.08043276  0.          3.53230101  1.         0.203609
  1.17768826e-03   0.00000000e+00   3.84345387e+00   1.00000000e+00 0.20361
 0.08043538  0.          2.75084752  1.         0.203611
 -1.18004919e-03   0.00000000e+00   2.43971503e+00   1.00000000e+00 0.203612
-0.08043797  0.          3.53237572  1.         0.203613
  1.18242538e-03   0.00000000e+00   3.84348729e+00   1.00000000e+00 0.203614
 0.08044062  0.          2.75077339  1.         0.203615
 -1.18478347e-03   0.00000000e+00   2.43968162e+00   1.00000000e+00 0.203616
-0.08044323  0.          3.53244927  1.         0.203617
